Estimated EPS,Actual EPS
0.9431818181818183,0.9340659340659341
1.0,1.0
0.7727272727272727,0.7802197802197803
0.8522727272727273,0.8131868131868132
0.7159090909090908,0.7142857142857142
0.8295454545454546,0.7582417582417582
0.5568181818181819,0.8241758241758244
0.5568181818181819,0.9340659340659341
0.20454545454545447,0.19780219780219777
0.0,0.10989010989010994
0.011363636363636354,0.09890109890109888
0.7159090909090908,0.7692307692307692
0.2272727272727273,0.23076923076923073
0.022727272727272818,0.0
0.09090909090909094,0.07692307692307687
0.6022727272727273,0.5494505494505495
0.21590909090909094,0.19780219780219777
0.03409090909090917,0.04395604395604391
0.18181818181818188,0.1428571428571429
0.5113636363636365,0.46153846153846145
0.34090909090909105,0.31868131868131866
0.34090909090909105,0.29670329670329665
0.045454545454545525,0.03296703296703285
0.15909090909090917,0.2417582417582418
