Estimated EPS,Actual EPS
1.49,1.64
1.34,1.4
1.51,1.53
2.09,2.18
1.39,1.46
1.19,1.26
1.44,1.52
1.93,1.88
1.26,1.29
1.14,1.2
1.43,1.52
1.89,2.1
1.24,1.24
1.0,1.3
1.0,1.4
1.41,1.68
0.69,0.73
0.51,0.65
0.52,0.64
1.14,1.25
0.71,0.76
0.53,0.55
0.59,0.62
1.04,1.05
0.7,0.73
0.54,0.59
0.67,0.68
0.96,0.97
0.47,0.52
0.39,0.42
0.51,0.53
0.81,0.84
0.42,0.42
0.35,0.36
0.49,0.48
0.81,0.82
0.47,0.49
0.45,0.46
0.55,0.58
0.65,0.77
